genre,publisher,count,publisher_total,genre_total,publisher_share,genre_share
Education,Courier Corporation,2,1120,2638,0.17857142857142858,0.0758150113722517
Education,Harper Collins,6,1939,2638,0.30943785456420836,0.22744503411675512
Education,HarperCollins,1,628,2638,0.15923566878980894,0.03790750568612585
Education,Houghton Mifflin Harcourt,5,893,2638,0.5599104143337066,0.18953752843062927
Education,John Wiley & Sons,51,2036,2638,2.504911591355599,1.9332827899924183
Education,Macmillan,5,1233,2638,0.40551500405515,0.18953752843062927
Education,Oxford University Press,11,813,2638,1.3530135301353015,0.4169825625473844
Education,"Oxford University Press, USA",3,758,2638,0.395778364116095,0.11372251705837756
Education,Penguin,6,2871,2638,0.20898641588296762,0.22744503411675512
Education,Routledge,144,2398,2638,6.005004170141785,5.458680818802123
